순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
1,069500,KODEX 200,K Market,1X,111700.0,19028625,2120429000000.0,5.97,0.79,1.56,-24.56,29.59,158.49,246.15
2,122630,KODEX 레버리지,K Market,2X,114060.0,14642059,1659237000000.0,11.72,0.9,1.62,-52.28,27.43,351.19,574.31
3,102110,TIGER 200,K Market,1X,111945.0,14486180,1618094000000.0,5.78,0.82,1.56,-24.34,29.91,159.19,247.88
4,459580,KODEX CD금리액티브(합성),K Market,1X,1075330.0,833715,896516000000.0,0.06,0.12,0.25,0.73,1.45,2.91,10.15
5,360750,TIGER 미국S&P500,K Market,1X,26340.0,25784046,680002000000.0,3.52,2.65,0.17,-7.58,7.34,18.65,85.19
6,133690,TIGER 미국나스닥100,K Market,1X,182540.0,3272182,597907000000.0,5.48,3.76,1.57,-11.73,12.88,25.35,108.44
7,379810,KODEX 미국나스닥100,K Market,1X,27290.0,19597684,535426000000.0,5.49,3.76,1.54,-11.73,12.95,25.42,109.2
8,114800,KODEX 인버스,K Market,-1X,978.0,470283987,462086000000.0,-5.78,-1.11,-2.49,14.79,-39.03,-71.73,-78.31
9,379800,KODEX 미국S&P500,K Market,1X,23940.0,16028912,384312000000.0,3.48,2.66,0.13,-7.6,7.35,18.61,85.32
10,396500,TIGER 반도체TOP10,K Market,1X,38245.0,8841439,336501000000.0,10.03,3.17,4.87,-31.3,10.68,223.7,323.63
11,233740,KODEX 코스닥150레버리지,K Market,2X,6905.0,39839354,271317000000.0,7.05,0.07,2.37,-42.86,-59.14,-25.19,-48.3
12,229200,KODEX 코스닥150,K Market,1X,14045.0,19181226,268132000000.0,3.39,0.11,1.7,-19.19,-29.01,2.71,-4.05
13,252670,KODEX 200선물인버스2X,K Market,-2X,69.0,2147483647,234991000000.0,-11.54,-4.17,-6.76,11.29,-72.29,-94.61,-97.27
14,494310,KODEX 반도체레버리지,K Market,2X,86480.0,2451034,207944000000.0,18.3,5.61,12.31,-59.36,17.5,610.02,
15,0193T0,KODEX SK하이닉스단일종목레버리지,K Market,2X,11955.0,17001013,203776000000.0,20.57,9.03,12.46,-72.83,,,
16,0167A0,SOL AI반도체TOP2플러스,K Market,1X,18320.0,11030262,200911000000.0,9.67,1.89,4.18,-36.69,67.77,,
17,488080,TIGER 반도체TOP10레버리지,K Market,2X,37450.0,4766718,176259000000.0,19.23,4.8,7.57,-62.16,-18.64,469.32,
18,091160,KODEX 반도체,K Market,1X,135250.0,1311074,175665000000.0,9.51,3.09,6.44,-28.19,30.78,254.24,319.08
19,395160,KODEX AI반도체TOP2플러스,K Market,1X,41650.0,3650536,151088000000.0,10.16,1.97,3.39,-33.89,45.63,282.99,380.84
20,232080,TIGER 코스닥150,K Market,1X,14315.0,9421143,134148000000.0,3.32,0.0,1.67,-19.31,-29.19,2.4,-5.09
21,498400,KODEX 200타겟위클리커버드콜,K Market,1X,20730.0,6049586,125148000000.0,5.23,0.86,1.25,-24.25,25.37,123.99,
22,0193W0,KODEX 삼성전자단일종목레버리지,K Market,2X,12870.0,8904419,112350000000.0,20.17,2.35,-8.69,-54.47,,,
23,148020,RISE 200,K Market,1X,112540.0,994564,111817000000.0,5.82,0.81,1.6,-24.58,29.66,158.93,247.43
24,0195S0,TIGER SK하이닉스단일종목레버리지,K Market,2X,10165.0,10082027,102733000000.0,20.94,9.24,12.88,-72.84,,,
25,475630,TIGER CD1년금리액티브(합성),K Market,1X,1077815.0,82340,88747000000.0,0.07,0.12,0.25,0.78,1.52,2.99,
26,472150,TIGER 배당커버드콜액티브,K Market,1X,20965.0,4099946,85713000000.0,6.02,1.4,1.25,-23.75,29.93,132.94,
27,395270,HANARO Fn K-반도체,K Market,1X,59450.0,1411606,83344000000.0,10.13,2.29,4.09,-32.83,65.53,382.35,556.18
28,0195R0,TIGER 삼성전자단일종목레버리지,K Market,2X,11700.0,7083014,81236000000.0,20.12,1.92,-8.91,-55.23,,,
29,487240,KODEX AI전력핵심설비,K Market,1X,37095.0,2179823,80972000000.0,3.99,1.59,11.23,-17.5,9.9,133.01,
30,0197X0,SOL SK하이닉스선물단일종목인버스2X,K Market,-2X,5390.0,12634686,67974000000.0,-18.4,-12.36,-19.67,-20.79,,,
31,0162Z0,RISE 삼성전자SK하이닉스채권혼합50,K Market,1X,13900.0,4308908,59780000000.0,5.14,1.83,1.35,-13.37,34.33,,
32,381180,TIGER 미국필라델피아반도체나스닥,K Market,1X,43450.0,1371601,59522000000.0,8.03,5.44,1.38,-24.76,42.43,107.34,248.94
33,488770,KODEX 머니마켓액티브,K Market,1X,105580.0,558634,58981000000.0,0.07,0.12,0.26,0.85,1.67,3.27,
34,305720,KODEX 2차전지산업,K Market,1X,14375.0,4071763,58718000000.0,-1.1,-3.1,4.89,-13.27,-12.0,23.02,-52.39
35,462330,KODEX 2차전지산업레버리지,K Market,2X,985.0,54598760,54145000000.0,-1.6,-6.81,7.65,-33.89,-37.93,-1.5,-90.69
36,442580,PLUS 글로벌HBM반도체,K Market,1X,105370.0,477629,50411000000.0,10.12,2.81,1.71,-28.8,61.54,388.39,723.07
37,455850,SOL AI반도체소부장,K Market,1X,25905.0,1828879,47083000000.0,7.05,3.08,13.87,-17.41,-4.76,104.94,116.15
38,0177N0,KODEX 삼성전자SK하이닉스채권혼합50,K Market,1X,14615.0,3210104,46833000000.0,4.88,1.54,0.97,-13.53,,,
39,069660,KIWOOM 200,K Market,1X,111600.0,419095,46826000000.0,5.76,0.76,1.55,-24.44,29.66,158.61,246.23
40,251340,KODEX 코스닥150선물인버스,K Market,-1X,2400.0,18035368,43654000000.0,-3.61,-0.83,-2.83,11.11,17.07,-28.57,-31.91
41,0219E0,KODEX 200커버드콜액티브,K Market,1X,8585.0,4192233,35889000000.0,5.4,0.94,0.49,,,,
42,0148J0,TIGER 코리아휴머노이드로봇산업,K Market,1X,9785.0,3620172,35298000000.0,6.3,4.21,7.06,-14.47,-21.91,,
43,152100,PLUS 200,K Market,1X,113365.0,302727,34295000000.0,5.79,0.8,1.54,-24.48,29.36,158.09,246.68
44,481050,KODEX CD1년금리플러스액티브(합성),K Market,1X,1023490.0,33192,33971000000.0,0.06,0.13,0.26,0.79,1.53,3.05,
45,139260,TIGER 200 IT,K Market,1X,141200.0,231830,32635000000.0,8.05,0.21,3.29,-33.1,61.97,327.57,361.97
46,105190,ACE 200,K Market,1X,111955.0,285128,31888000000.0,5.77,0.8,1.61,-24.58,29.35,158.06,245.56
47,243880,TIGER 200IT레버리지,K Market,2X,343495.0,89768,30593000000.0,16.2,-1.01,4.7,-65.65,72.42,891.56,783.7
48,390390,KODEX 미국반도체,K Market,1X,54375.0,541644,29484000000.0,7.25,4.57,1.96,-21.66,35.53,96.12,306.21
49,278530,KODEX 200TR,K Market,1X,40430.0,714420,28870000000.0,5.67,0.66,1.52,-24.45,29.36,158.83,247.49
50,364980,TIGER 2차전지TOP10,K Market,1X,10030.0,2829639,28522000000.0,-0.84,-3.74,4.53,-8.32,-0.35,28.02,-50.15
51,499660,TIGER CD금리플러스액티브(합성),K Market,1X,1002205.0,26821,26880000000.0,0.06,0.12,0.25,0.77,1.52,3.0,
52,426030,TIME 미국나스닥100액티브,K Market,1X,47950.0,533979,25562000000.0,8.5,6.03,4.65,-23.41,21.76,50.16,272.92
53,458730,TIGER 미국배당다우존스,K Market,1X,14750.0,1723066,25449000000.0,1.44,0.48,-3.34,-4.18,2.84,24.66,56.04
54,0091P0,TIGER 코리아원자력,K Market,1X,17940.0,1306905,23639000000.0,-2.39,0.62,17.83,-3.94,-20.3,84.28,
55,0177R0,TIGER 반도체TOP10커버드콜액티브,K Market,1X,11700.0,2030067,23601000000.0,9.91,2.88,4.97,-32.23,,,
56,292150,TIGER 코리아TOP10,K Market,1X,39300.0,576167,22514000000.0,4.8,1.18,1.77,-24.44,25.99,201.1,257.47
57,360200,ACE 미국S&P500,K Market,1X,26640.0,829169,22104000000.0,3.52,2.72,0.21,-7.56,7.43,18.67,84.95
58,091230,TIGER 반도체,K Market,1X,142690.0,154490,21929000000.0,8.75,3.03,6.49,-27.31,31.21,261.19,326.19
59,486290,TIGER 미국나스닥100타겟데일리커버드콜,K Market,1X,10625.0,1970770,20949000000.0,5.41,3.71,1.38,-11.75,11.02,23.47,
60,475300,SOL 반도체전공정,K Market,1X,23260.0,862800,19914000000.0,8.21,4.89,14.36,-17.63,27.38,161.5,
61,429760,PLUS 미국S&P500,K Market,1X,19610.0,999129,19625000000.0,3.4,2.59,0.18,-7.53,7.42,18.7,82.57
62,487230,KODEX 미국AI전력핵심인프라,K Market,1X,20050.0,959752,19219000000.0,5.64,3.35,2.48,-27.02,-2.4,24.95,
63,471990,KODEX AI반도체핵심장비,K Market,1X,25730.0,742226,18971000000.0,4.81,2.65,14.18,-13.31,-3.36,140.83,
64,0117V0,TIGER 코리아AI전력기기TOP3플러스,K Market,1X,19410.0,958298,18620000000.0,4.13,1.81,11.55,-17.83,7.57,,
